Year,Player,Tm,G,GS,PPG,RPG,APG,MPG,FG%,3P%,FT%,OFF,DEF,SPG,BPG,TO,PF
2002,Tariq Abdul-Wahad,TOT,24.0,12.0,5.6,3.5,1.0,18.4,0.374,0.5,0.727,41.0,43.0,0.8,0.4,1.1,2.3
2002,Tariq Abdul-Wahad,DEN,20.0,12.0,6.8,3.9,1.1,20.8,0.379,0.5,0.75,39.0,39.0,0.9,0.4,1.2,2.6
2002,Tariq Abdul-Wahad,DAL,4.0,0.0,0.0,1.5,0.5,6.0,0.0,0.0,0.0,2.0,4.0,0.5,0.2,0.8,1.2
2002,Shareef Abdur-Rahim,ATL,77.0,77.0,21.2,9.0,3.1,38.7,0.461,0.3,0.801,198.0,498.0,1.3,1.1,3.2,2.8
2002,Courtney Alexander,WAS,56.0,28.0,9.8,2.6,1.5,23.7,0.47,0.278,0.81,43.0,105.0,0.6,0.1,1.1,2.0
2002,Victor Alexander,DET,15.0,0.0,2.7,1.9,0.4,6.5,0.353,0.0,0.5,7.0,22.0,0.0,0.1,0.3,0.4
2002,Malik Allen,MIA,12.0,2.0,4.3,3.2,0.4,13.4,0.431,0.0,0.8,15.0,23.0,0.2,0.7,0.2,1.3
2002,Ray Allen,MIL,69.0,67.0,21.8,4.5,3.9,36.6,0.462,0.434,0.873,81.0,231.0,1.3,0.3,2.3,2.3
2002,Rafer Alston,MIL,50.0,7.0,3.5,1.4,2.9,12.0,0.346,0.38,0.621,10.0,62.0,0.6,0.0,0.8,0.8
2002,John Amaechi,UTA,54.0,0.0,3.2,2.0,0.5,10.9,0.325,0.0,0.638,52.0,57.0,0.1,0.2,1.0,1.2
2002,Chris Andersen,DEN,24.0,1.0,3.0,3.2,0.3,10.9,0.338,0.0,0.786,38.0,38.0,0.3,1.2,0.5,1.5
2002,Derek Anderson,POR,70.0,27.0,10.8,2.7,3.1,26.6,0.404,0.373,0.856,47.0,142.0,1.0,0.1,1.2,1.6
2002,Kenny Anderson,BOS,76.0,76.0,9.6,3.6,5.3,32.0,0.436,0.273,0.742,57.0,218.0,1.9,0.1,1.6,2.8
2002,Nick Anderson,MEM,15.0,0.0,4.0,2.2,0.9,14.6,0.276,0.271,0.556,1.0,32.0,0.4,0.4,0.9,1.1
2002,Shandon Anderson,NYK,82.0,6.0,5.0,3.0,0.9,19.5,0.399,0.277,0.692,57.0,192.0,0.6,0.2,1.2,1.6
2002,Greg Anthony,TOT,60.0,38.0,7.9,2.2,4.7,25.2,0.385,0.294,0.659,22.0,110.0,1.3,0.1,1.6,1.9
2002,Greg Anthony,CHI,36.0,35.0,8.4,2.4,5.6,26.7,0.394,0.322,0.671,16.0,72.0,1.4,0.1,1.6,2.0
2002,Greg Anthony,MIL,24.0,3.0,7.2,1.8,3.3,23.0,0.372,0.26,0.619,6.0,38.0,1.2,0.0,1.5,1.8
2002,Gilbert Arenas,GSW,47.0,30.0,10.9,2.8,3.7,24.6,0.453,0.345,0.775,41.0,91.0,1.5,0.2,2.1,2.4
2002,Brandon Armstrong,NJN,35.0,0.0,1.8,0.5,0.2,5.6,0.318,0.294,0.5,10.0,6.0,0.2,0.0,0.2,0.7
2002,Darrell Armstrong,ORL,82.0,79.0,12.4,3.9,5.5,33.3,0.419,0.349,0.888,83.0,236.0,1.9,0.1,2.1,2.0
2002,Carlos Arroyo,TOT,37.0,1.0,3.0,1.1,1.9,10.0,0.441,0.0,0.722,12.0,28.0,0.3,0.0,0.6,0.8
2002,Carlos Arroyo,TOR,17.0,0.0,1.8,0.7,1.2,5.6,0.448,0.0,0.667,3.0,9.0,0.4,0.0,0.7,0.7
2002,Carlos Arroyo,DEN,20.0,1.0,4.0,1.4,2.4,13.8,0.439,0.0,0.75,9.0,19.0,0.2,0.0,0.6,0.9
2002,Chucky Atkins,DET,79.0,62.0,12.1,2.0,3.3,28.9,0.466,0.411,0.692,31.0,127.0,0.9,0.1,1.6,2.2
2002,Stacey Augmon,CHH,77.0,3.0,4.6,2.9,1.3,17.1,0.427,0.0,0.762,59.0,166.0,0.7,0.2,0.7,1.5
